q1;p1;q3;p3
0.4325;0;0;0
0.4325;0;0.01;0.01
0.4325;0;0.02;0.01
0.4325;0;0.03;0.01
0.4325;0;0.04;0.01
0.4325;0;0.05;0.01
0.4325;0;0.06;0.01
0.4325;0;0.07;0.01
0.4325;0;0.08;0.01
0.4325;0;0.09;0.01
0.4325;0;0.01;0.02
0.4325;0;0.01;0.03
0.4325;0;0.01;0.04
0.4325;0;0.01;0.05
0.4325;0;0.01;0.06
0.4325;0;0.01;0.07
0.4325;0;0.01;0.08
0.4325;0;0.01;0.09
0.4325;0;0.1;0.0
0.4325;0;0.11;0.0
0.4325;0;0.12;0.0
0.4325;0;0.14;0.0
0.4325;0;0.15;0.0
0.4325;0;0.17;0.0
0.4325;0;0.18;0.0
0.4325;0;0.1;0.0
0.4325;0;0.1;0.1
0.4325;0;0.1;0.2
0.4325;0;0.1;0.3
0.4325;0;0.1;0.4
0.4325;0;0.1;0.5
0.4325;0;0.1;0.6
0.4325;0;0.1;0.7
0.4325;0;0.1;0.8
0.4325;0;0.1;0.9
0.4325;0;0.2;0.0
0.4325;0;0.2;0.1
0.4325;0;0.2;0.2
0.4325;0;0.2;0.3
0.4325;0;0.2;0.4
0.4325;0;0.2;0.5
0.4325;0;0.2;0.6
0.4325;0;0.2;0.7
0.4325;0;0.2;0.8
0.4325;0;0.2;0.9
0.4325;0;0.3;0.0
0.4325;0;0.3;0.1
0.4325;0;0.3;0.2
0.4325;0;0.3;0.3
0.4325;0;0.3;0.4
0.4325;0;0.3;0.5
0.4325;0;0.3;0.6
0.4325;0;0.3;0.7
0.4325;0;0.3;0.8
0.4325;0;0.3;0.9
0.4325;0;0.4;0.0
0.4325;0;0.4;0.1
0.4325;0;0.4;0.2
0.4325;0;0.4;0.3
0.4325;0;0.4;0.4
0.4325;0;0.4;0.5
0.4325;0;0.4;0.6
0.4325;0;0.4;0.7
0.4325;0;0.4;0.8
0.4325;0;0.4;0.9
0.4325;0;0.45;0.0
0.4325;0;0.45;0.1
0.4325;0;0.45;0.2
0.4325;0;0.45;0.3
0.4325;0;0.45;0.4
0.4325;0;0.45;0.5
0.4325;0;0.45;0.6
0.4325;0;0.45;0.7
0.4325;0;0.45;0.8
0.4325;0;0.45;0.9
0.4325;0;0.1;1.1
0.4325;0;0.1;1.2
0.4325;0;0.1;1.3
0.4325;0;0.1;1.4
0.4325;0;0.1;1.5
0.4325;0;0.1;1.6
0.4325;0;0.1;1.7
0.4325;0;0.1;1.8
0.4325;0;0.1;1.9
